job_title,job_category,salary,employee_residence,experience_level,employment_type,work_setting
Machine Learning Engineer,Machine Learning and AI,200000,United States,Senior,Full-time,Remote
Machine Learning Engineer,Machine Learning and AI,150000,United States,Senior,Full-time,Remote
Data Modeler,Data Architecture and Modeling,195000,United States,Senior,Full-time,In-person
Data Modeler,Data Architecture and Modeling,160000,United States,Senior,Full-time,In-person
Data Operations Analyst,Data Quality and Operations,154000,United States,Senior,Full-time,In-person
Data Operations Analyst,Data Quality and Operations,82000,United States,Senior,Full-time,In-person
Data Science Manager,Data Science and Research,160000,United States,Senior,Full-time,Remote
Data Science Manager,Data Science and Research,145000,United States,Senior,Full-time,Remote
AI Engineer,Machine Learning and AI,239400,United States,Senior,Full-time,In-person
AI Engineer,Machine Learning and AI,136800,United States,Senior,Full-time,In-person
Head of Data,Leadership and Management,329500,United States,Executive,Full-time,Remote
Head of Data,Leadership and Management,269600,United States,Executive,Full-time,Remote
Data Scientist,Data Science and Research,120000,United States,Senior,Full-time,In-person
Data Scientist,Data Science and Research,100000,United States,Senior,Full-time,In-person
Decision Scientist,Data Science and Research,204500,United States,Senior,Full-time,In-person
Decision Scientist,Data Science and Research,142200,United States,Senior,Full-time,In-person
Data Scientist,Data Science and Research,230000,United States,Senior,Full-time,Remote
Data Scientist,Data Science and Research,180000,United States,Senior,Full-time,Remote
